Name,Category,Neighbourhood,IssuedYear,ExpiredYear,FullAddress,LAT,LONG,gislink
LIBERTY TAX SERVICE,Business & Financial,Harris Green,2012,2022,"184-911 YATES ST
VICTORIA BC  V8V 4X3",48.42504201,-123.3576649,1525020
LINE LEVEL LANDSCAPING & DEVELOPMENT CORP,Business & Financial,Harris Green,2017,2022,"400-931 FORT ST
VICTORIA BC  V8V 3K3",48.42362124,-123.3585227,1529006
LONG VIEW SYSTEMS,Business & Financial,Harris Green,2016,2022,"100-888 FORT ST
VICTORIA BC  V8W 1H8",48.42429646,-123.3599083,1005013
MILLENNIUM EMS SOLUTIONS LTD,Business & Financial,Harris Green,2020,2022,"218-852 FORT ST
VICTORIA BC  V8W 1H8",48.42433642,-123.3602742,1005015
MINNOW ENVIRONMENTAL INC,Business & Financial,Harris Green,2012,2022,"204-1006 FORT ST
VICTORIA BC  V8V 3K4",48.42392513,-123.3565152,1527019
MNP LLP,Business & Financial,Harris Green,2012,2022,"300-888 FORT ST
VICTORIA BC  V8W 1H8",48.42429646,-123.3599083,1005013
NSQARCHITECTURE LTD,Business & Financial,Harris Green,2022,2022,"1060 MEARES ST
VICTORIA BC  V8V 3J6",48.42326741,-123.3552892,024-699-187
NVISION PROPERTY MANAGEMENT,Business & Financial,Harris Green,2017,2022,"301-1106 COOK ST
VICTORIA BC  V8V 3Z9",48.42369743,-123.3544286,1527009
ONEFEATHER,Business & Financial,Harris Green,2019,2022,"209-852 FORT ST
VICTORIA BC  V8W 1H8",48.42433642,-123.3602742,1005015
PEWTER GRAPHICS,Business & Financial,Harris Green,2017,2022,"1211 QUADRA ST
VICTORIA BC  V8W 2K6",48.42501283,-123.3589,1525015
PRT GROWING SERVICES LTD,Business & Financial,Harris Green,2012,2022,"101-1006 FORT ST
VICTORIA BC  V8V 3K4",48.42392513,-123.3565152,1527019
REVELA SYSTEMS INC,Business & Financial,Harris Green,2020,2022,"100-838 FORT ST
VICTORIA BC  V8W 1H8",48.42440301,-123.3608837,1005017
RINALD TAX ADVISORY INC,Business & Financial,Harris Green,2012,2022,"300-1007 FORT ST
VICTORIA BC  V8V 3K5",48.42340769,-123.356576,1530001
ROYAL ECOMMERCE TECH INC,Business & Financial,Harris Green,2021,2022,"109-1029 VIEW ST
VICTORIA BC  V9V 0C9",48.42417238,-123.3558241,030-755-581
RUMBLE NUTRITION LTD,Business & Financial,Harris Green,2018,2022,"210-838 FORT ST
VICTORIA BC  V8W 1H8",48.42440301,-123.3608837,1005017
SHORKEY MORTGAGE CORP,Business & Financial,Harris Green,2013,2022,"970 MEARES ST
VICTORIA BC  V8V 3J4",48.42354059,-123.3577849,1529008
SLOAN VALLEY DAIRIES LTD,Business & Financial,Harris Green,2012,2022,"B-1011 JOHNSON ST
VICTORIA BC  V8V 3N6",48.42591826,-123.3553942,024-539-317
STERLING FINANCIAL ACCOUNTING SERVICES,Business & Financial,Harris Green,2012,2022,"101-860 VIEW ST
VICTORIA BC  V8W 3Z8",48.42518553,-123.3605115,026-225-077
SUCCESS IMMIGRATION SERVICES (CANADA) LTD,Business & Financial,Harris Green,2012,2022,"5-920 JOHNSON ST
VICTORIA BC  V8V 3N4",48.42670445,-123.3578604,1521017
TARTANBOND COMMUNICATIONS LTD,Business & Financial,Harris Green,2017,2022,"240-838 FORT ST
VICTORIA BC  V8W 1H8",48.42440301,-123.3608837,1005017
TELLWELL TALENT,Business & Financial,Harris Green,2016,2022,"1028 FORT ST
VICTORIA BC  V8V 3K4",48.42381833,-123.3555332,1527014
TERMEH PERSIAN HANDICRAFTS,Business & Financial,Harris Green,2020,2022,"108-1029 VIEW ST
VICTORIA BC  V8V 0C9",48.42417238,-123.3558241,030-755-590
THE AGENCY,Business & Financial,Harris Green,2018,2022,"101-960 YATES ST
VICTORIA BC  V8V 3M3",48.42576524,-123.3571133,030-432-235
THE UPS STORE #116,Business & Financial,Harris Green,2012,2022,"185-911 YATES ST
VICTORIA BC  V8V 4Y9",48.42504201,-123.3576649,1525020
THUNDERBIRD INSURANCE BROKERS LTD,Business & Financial,Harris Green,2012,2022,"1032 YATES ST
VICTORIA BC  V8V 3M7",48.42552628,-123.3549201,1523012
THUNDERBIRD INSURANCE BROKERS LTD,Business & Financial,Harris Green,2021,2022,"108-1030 YATES ST
VICTORIA BC  V8V 5A7",48.42555987,-123.3552285,026-101-068
TNI THE NETWORK INC.,Business & Financial,Harris Green,2019,2022,"1027 PANDORA AVE
VICTORIA BC  V8V 3P6",48.42669668,-123.354698,1522004
VANCOUVER ISLAND LINEN SUPPLY LTD,Business & Financial,Harris Green,2012,2022,"1314 QUADRA ST
VICTORIA BC  V8W 2K8",48.42627363,-123.3594156,1007007
VICOSTONE CANADA INC.,Business & Financial,Harris Green,2021,2022,"3-1010 YATES ST
VICTORIA BC  V8V 3M6",48.42580625,-123.3559627,1523018
WCG INTERNATIONAL CONSULTING & INVESTMENT LTD,Business & Financial,Harris Green,2012,2022,"915 FORT ST
VICTORIA BC  V8V 3K3",48.42367512,-123.3590154,1529011
WEST COAST CONTEMPORARY HOMES LTD,Business & Financial,Harris Green,2013,2022,"2-834 JOHNSON ST
VICTORIA BC  V8W 1N3",48.42698168,-123.3603772,028-715-349
WILLIAM WRIGHT COMMERICIAL REAL ESTATE SERVICES,Business & Financial,Harris Green,2021,2022,"843 JOHNSON ST
VICTORIA BC  V8W 0G2",48.42625617,-123.3600565,031-217-311
CHP IMAGES LTD,Business & Financial,Harris Green,2014,2022,"C-1011 JOHNSON ST
VICTORIA BC  V8V 3N6",48.42591826,-123.3553942,024-539-325
ALL SITE IT,Business & Financial,Hillside/Quadra,2021,2021,"306-2722 FIFTH ST
VICTORIA BC  V8T 4B2",48.44014805,-123.3583909,9666009
THOMPSON COMMUNITY SERVICES INC,Business & Financial,Hillside/Quadra,2017,2021,"202-2860 QUADRA ST
VICTORIA BC  V8T 4E7",48.44131301,-123.3605754,9665078
BOLSTER CONSULTING LTD,Business & Financial,Hillside/Quadra,2012,2022,"8-2727 QUADRA ST
VICTORIA BC  V8T 4E5",48.44023982,-123.358984,000-379-514
CALID SERVICES LTD,Business & Financial,Hillside/Quadra,2012,2022,"207-2750 QUADRA ST
VICTORIA BC  V8T 4E8",48.4406635,-123.3600439,9665148
CAROLYN DEVELOPMENTS LTD,Business & Financial,Hillside/Quadra,2012,2022,"202-2736 QUADRA ST
VICTORIA BC  V8T 4E6",48.44006041,-123.3597052,9664004
CECILIAS ADMIN SERVICES,Business & Financial,Hillside/Quadra,2022,2022,"101A-920 HILLSIDE AVE
VICTORIA BC  V8T 1Z8",48.43946927,-123.3609858,9665043
CENTURION FINANCIAL SERVICES,Business & Financial,Hillside/Quadra,2012,2022,"102-920 HILLSIDE AVE
VICTORIA BC  V8T 1Z8",48.43946927,-123.3609858,9665043
CHEQUES AND BALANCES BOOK KEEPING,Business & Financial,Hillside/Quadra,2020,2022,"908 HILLSIDE AVE
VICTORIA BC  V8T 1Z8",48.43940558,-123.3614855,000-086-151
COAST CLAIMS SERVICE (1977) LTD,Business & Financial,Hillside/Quadra,2012,2022,"6-2727 QUADRA ST
VICTORIA BC  V8T 4E5",48.44023982,-123.358984,000-379-484
GOAL DIRECTED OCCUPATIONAL THERAPY INC,Business & Financial,Hillside/Quadra,2021,2022,"204-990 HILLSIDE AVE
VICTORIA BC  V8T 2A1",48.43962014,-123.3598049,9664013
HOPS AND VINE CONSULTING,Business & Financial,Hillside/Quadra,2022,2022,"2570 BLACKWOOD ST
VICTORIA BC  V8T 3W1",48.43693457,-123.3531758,9652011
ISLAND EHS,Business & Financial,Hillside/Quadra,2014,2022,"201-990 HILLSIDE AVE
VICTORIA BC  V8T 2A1",48.43962014,-123.3598049,9664013
"KING, JANI",Business & Financial,Hillside/Quadra,2012,2022,"202-2750 QUADRA ST
VICTORIA BC  V8T 4E8",48.4406635,-123.3600439,9665148
NATIONAL MONEY MART INC,Business & Financial,Hillside/Quadra,2012,2022,"2680 QUADRA ST
VICTORIA BC  V8T 4E4",48.43914531,-123.3595078,9663004
POSITIVE STATEMENTS,Business & Financial,Hillside/Quadra,2018,2022,"306-2722 FIFTH ST
VICTORIA BC  V8T 4B2",48.44014805,-123.3583909,9666009
QUADRA VILLAGE MEDICAL,Business & Financial,Hillside/Quadra,2013,2022,"3-2631 QUADRA ST
VICTORIA BC  V8T 4E3",48.43838718,-123.358144,9659003
"CHIN, MICHAEL
YIEN CHIN, NAN",Business & Financial,James Bay,2012,2020,"239 MENZIES ST
VICTORIA BC  V8V 2G6",48.41627911,-123.3729447,2143021
LC COINS LTD,Business & Financial,James Bay,2016,2021,"101A-230 MENZIES ST
VICTORIA BC  V8V 2G7",48.41585754,-123.3741338,2136053
WEST COAST AGENCIES LTD,Business & Financial,James Bay,2017,2021,"185 DALLAS RD
VICTORIA BC  V8V 1A1",48.41582806,-123.3890669,2106034
ACCOMPLISHMENT COACHING CANADA,Business & Financial,James Bay,2016,2022,"40 GOVERNMENT ST
VICTORIA BC  V8V 2K3",48.4113604,-123.3731261,2154009
CIRCLE K,Business & Financial,James Bay,2020,2022,"265 MENZIES ST
VICTORIA BC  V8V 2G6",48.41659397,-123.3728186,2143001
COLDWELL BANKER OCEANSIDE REAL ESTATE,Business & Financial,James Bay,2021,2022,"207 MENZIES ST
VICTORIA BC  V8V 2G6",48.41557646,-123.3734598,2143017
CVS CRUISE VICTORIA,Business & Financial,James Bay,2013,2022,"189 DALLAS RD
VICTORIA BC  V8V 1A1",48.41582806,-123.3890669,2106034
FARMER MANAGEMENT INC,Business & Financial,James Bay,2012,2022,"21-21 DALLAS RD
VICTORIA BC  V8V 4Z9",48.42246056,-123.3850345,024-859-931
GATEWAY PROPERTY MANAGEMENT CORP,Business & Financial,James Bay,2012,2022,"215-19 DALLAS RD
VICTORIA BC  V8V 5A6",48.42246056,-123.3850345,025-682-571
H & R BLOCK,Business & Financial,James Bay,2015,2022,"104-225 MENZIES ST
VICTORIA   V8V 2G6",48.41589263,-123.3731549,027-255-417
HOME CARE ASSISTANCE VICTORIA,Business & Financial,James Bay,2016,2022,"16-21 DALLAS RD
VICTORIA BC  V8V 4Z9",48.42246056,-123.3850345,024-859-974
ITT WILSON'S TOURS,Business & Financial,James Bay,2013,2022,"3-463 BELLEVILLE ST
VICTORIA BC  V8V 1X3",48.42068784,-123.3723275,2140003
JAMES BAY COMMUNITY MARKET,Business & Financial,James Bay,2013,2022,"547 MICHIGAN ST
VICTORIA BC  V8V 1S5",48.41675229,-123.3713071,2144029
JAMES QUALITY CLEANERS LTD,Business & Financial,James Bay,2012,2022,"9-435 SIMCOE ST
VICTORIA BC  V8V 4T4",48.41539214,-123.3752164,2131001
KELP REEF ADVENTURES LTD,Business & Financial,James Bay,2012,2022,"1 DALLAS RD
VICTORIA BC  V8V 0B2",48.42300157,-123.3834892,2101335
ORCA SPIRIT ADVENTURES LTD,Business & Financial,James Bay,2012,2022,"146 KINGSTON ST
VICTORIA BC  V8V 1V4",48.42218437,-123.3796614,2114146
PACIFIC NORTHWEST TRANSPORTATION SERVICES,Business & Financial,James Bay,2018,2022,"189 DALLAS RD
VICTORIA BC  V8V 1A1",48.41582806,-123.3890669,2106034
PIER ONE,Business & Financial,James Bay,2012,2022,"640 MONTREAL ST
VICTORIA BC  V8V 1Z8",48.42332659,-123.3786366,2114004
SISCAPA ASSAY TECHNOLOGIES,Business & Financial,James Bay,2022,2022,"665 DOUGLAS ST
VICTORIA BC  V8V 0B6",48.41950671,-123.36553,1055002
TYMAC LAUNCH SERVICE LTD,Business & Financial,James Bay,2019,2022,"89 DALLAS RD
VICTORIA BC  V8V 1A1",48.41582806,-123.3890669,2106034
WHITEHALL ROWING & SAIL,Business & Financial,James Bay,2012,2022,"85 DALLAS RD
VICTORIA BC  V8V 1A1",48.41582806,-123.3890669,2106034
COMMUNITY INCLUSION CONSULTING INC,Business & Financial,North Jubilee,2022,2022,"A-1950 FORT ST
VICTORIA BC  V8R 1K3",48.43204853,-123.3242507,023-326-832
EXACT DETAILING LTD,Business & Financial,North Jubilee,2012,2022,"1770 FORT ST
VICTORIA BC  V8R 1J5",48.42948794,-123.3309339,7410009
INDIVIDUAL DRY CLEANERS LTD,Business & Financial,North Jubilee,2012,2022,"1602 FORT ST
VICTORIA BC  V8R 1H9",48.42682684,-123.3368532,7428015
MATH4ME,Business & Financial,North Jubilee,2018,2022,"1526 PANDORA AVE
VICTORIA BC  V8R 1A8",48.42677013,-123.3371501,7428016
VIP MAINTENANCE,Business & Financial,North Park,2019,2019,"820 CORMORANT ST
VICTORIA BC  V8W 1R1",48.42883858,-123.3608817,1517024
INTERNATIONAL CROWD MANAGEMENT INC,Business & Financial,North Park,2012,2020,"1925 BLANSHARD ST
VICTORIA BC  V8T 4J2",48.43160889,-123.3600322,1514004
PACIFIC FINANCIAL CONSULTING,Business & Financial,North Park,2013,2020,"A-832 FISGARD ST
VICTORIA BC  V8W 1S1",48.42941708,-123.3604318,017-830-559
50TH PARALLEL PUBLIC RELATIONS,Business & Financial,North Park,2022,2022,"1600 QUADRA ST
VICTORIA BC  V8W 2L4",48.428171,-123.359402,027-581-977
CANADIAN LINEN & UNIFORM SERVICE INC,Business & Financial,North Park,2012,2022,"947 NORTH PARK ST
VICTORIA BC  V8T 1C5",48.42932505,-123.3566079,1498006
CHASE OFFICE INTERIORS (2007) INC.,Business & Financial,North Park,2016,2022,"2-2300 QUADRA ST
VICTORIA BC  V8T 1M5",48.4341086,-123.35845,7505008
DA DESIGN GROUP INC,Business & Financial,North Park,2020,2022,"100-826 NORTH PARK ST
VICTORIA BC  V8W 3B4",48.43026222,-123.3605128,1515020
DAVE OSMOND FINANCIAL SERVICES,Business & Financial,North Park,2013,2022,"107-826 NORTH PARK ST
VICTORIA BC  V8W 3B4",48.43026222,-123.3605128,1515020
ERNST & YOUNG LLP,Business & Financial,North Park,2022,2022,"1815 BLANSHARD ST
VICTORIA BC  V8T 5A4",48.43039805,-123.3613967,1515026
FOXSHIRE HOLDING LTD,Business & Financial,North Park,2017,2022,"811 PRINCESS AVE
VICTORIA BC  V8T 1K7",48.43299065,-123.3608254,7508002
GIR GARCIA IRRIGATION AND RENOVATIONS LTD,Business & Financial,North Park,2021,2022,"1022 PANDORA AVE
VICTORIA BC  V8V 3P5",48.42753244,-123.3546269,1495013
HENDRY SWINTON MCKENZIE INSURANCE,Business & Financial,North Park,2012,2022,"830 PANDORA AVE
VICTORIA BC  V8W 1P4",48.42785643,-123.3601444,1520002
HOWE & GRAMLICH WEALTH MANAGEMENT INC,Business & Financial,North Park,2012,2022,"1012 NORTH PARK ST
VICTORIA BC  V8T 1C6",48.42993186,-123.3549711,1499051
LUCKY LODGE LTD,Business & Financial,North Park,2012,2022,"102-864 PEMBROKE ST
VICTORIA BC  V8T 1H9",48.43255306,-123.3592278,025-140-442
MAC'S II AGENCIES LTD,Business & Financial,North Park,2017,2022,"830 PEMBROKE ST
VICTORIA BC  V8T 1H9",48.43259845,-123.36,7508017
ORCA BOOK PUBLISHERS LTD,Business & Financial,North Park,2012,2022,"1016 BALMORAL RD
VICTORIA BC  V8T 1A8",48.42903348,-123.3550772,1498028
R A MALATEST AND ASSOCIATES LTD,Business & Financial,North Park,2012,2022,"858 PANDORA AVE
VICTORIA BC  V8W 1P4",48.42784115,-123.3597513,1520003
SAVE-ON FOODS MEMORIAL CENTRE,Business & Financial,North Park,2012,2022,"1925 BLANSHARD ST
VICTORIA BC  V8T 4J2",48.43160889,-123.3600322,1514004
SMILES 4 MILES TRAVEL INC,Business & Financial,North Park,2019,2022,"837 FISGARD ST
VICTORIA BC  V8W 1R9",48.42902238,-123.3600508,1517150
THE KEN YAO COMPANY INC,Business & Financial,North Park,2014,2022,"1521 AMELIA ST
VICTORIA BC  V8W 2K1",48.42818073,-123.3601342,014-885-573
WALLACE DRIVING SCHOOL LTD,Business & Financial,North Park,2012,2022,"102-1814 VANCOUVER ST
VICTORIA BC  V8T 5E3",48.4299984,-123.3561304,1499053
"WATSON, AARON R",Business & Financial,North Park,2021,2022,"412-921 NORTH PARK ST
VICTORIA BC  V8T 1C4",48.42955365,-123.3575343,1498041
WESTERN INTERIOR DESIGN GROUP LTD,Business & Financial,North Park,2017,2022,"100-2105 DOWLER PL
VICTORIA BC  V8T 5B6",48.43266316,-123.3608633,7508024
DH PHOTOGRAPHY,Business & Financial,North Park,2021,2022,"1600 QUADRA ST
VICTORIA BC  V8W 2L4",48.428171,-123.359402,027-581-977
M1 FILMS INC.,Business & Financial,North Park,2019,2022,"1600 QUADRA ST
VICTORIA BC  V8W 2L4",48.428171,-123.359402,027-581-977
VICTORIA CAMERA SERVICE LTD,Business & Financial,North Park,2012,2022,"102-864 PEMBROKE ST
VICTORIA BC  V8T 1H9",48.43255306,-123.3592278,025-140-442
JESSE HLADY STUDIOS INC,Business & Financial,Oaklands,2012,2021,"1537 HILLSIDE AVE
VICTORIA BC  V8T 4Y2",48.44348214,-123.3375697,8603001
BCAA INSURANCE AGENCY,Business & Financial,Oaklands,2013,2022,"115-1644 HILLSIDE AVE
VICTORIA BC  V8T 2C5",48.44600702,-123.3363263,V06001008
COMMUNICATION CONNECTION (BC) INC,Business & Financial,Oaklands,2013,2022,"200-3060 CEDAR HILL RD
VICTORIA BC  V8T 3J5",48.44728411,-123.3448296,018-234-542
ECOFISH RESEARCH LTD,Business & Financial,Oaklands,2012,2022,"114-1537 HILLSIDE AVE
VICTORIA BC  V8T 4Y2",48.44348214,-123.3375697,8603001
FASTAX REFUNDS,Business & Financial,Oaklands,2012,2022,"1581 HILLSIDE AVE
VICTORIA BC  V8T 2C1",48.44403728,-123.3364261,8603006
GREEN ISLE AIR SYSTEMS INC,Business & Financial,Oaklands,2014,2022,"201-1537 HILLSIDE AVE
VICTORIA BC  V8T 4Y2",48.44348214,-123.3375697,8603001
H & R BLOCK CANADA INC,Business & Financial,Oaklands,2012,2022,"3190 SHELBOURNE ST
VICTORIA BC  V8T 3A8",48.44600702,-123.3363263,V06001008
L. NICOLE STONE NOTARY PUBLIC,Business & Financial,Oaklands,2013,2022,"109-1633 HILLSIDE AVE
VICTORIA BC  V8T 2C4",48.44496762,-123.3343554,8601023
MARY'S TAILORING,Business & Financial,Oaklands,2012,2022,"28-1644 HILLSIDE AVE
VICTORIA BC  V8T 2C5",48.44600702,-123.3363263,V06001008
MOBILE KLINIC,Business & Financial,Oaklands,2020,2022,"106A-1644 HILLSIDE AVE
VICTORIA BC  V8T 2C5",48.44600702,-123.3363263,V06001008
RICHMOND PROPERTY GROUP LTD,Business & Financial,Oaklands,2012,2022,"201-1537 HILLSIDE AVE
VICTORIA BC  V8T 4Y2",48.44348214,-123.3375697,8603001
STRESSMARQ BIOSCIENCES INC,Business & Financial,Oaklands,2013,2022,"118-1537 HILLSIDE AVE
VICTORIA BC  V8T 4Y2",48.44348214,-123.3375697,8603001
THE NEEDLE IN THE HAYSTACK,Business & Financial,Oaklands,2014,2022,"F2-1581 HILLSIDE AVE
VICTORIA BC  V8T 2C1",48.44403728,-123.3364261,8603006
THE UPS STORE,Business & Financial,Oaklands,2013,2022,"H-1581 HILLSIDE AVE
VICTORIA BC  V8T 2C1",48.44403728,-123.3364261,8603006
VICTORIA ACADEMY OF DRAMATIC ARTS,Business & Financial,Rockland,2012,2022,"805 LANGHAM CRT
VICTORIA BC  V8V 4J3",48.42022435,-123.3492793,3272059
BT5 BEAUTY SOLUTIONS INC,Business & Financial,South Jubilee,2020,2021,"224-1627 FORT ST
VICTORIA BC  V8R 1H8",48.42697736,-123.3350381,6370007
HAIRACLE CANADA INC,Business & Financial,South Jubilee,2021,2021,"224-1627 FORT ST
VICTORIA BC  V8R 1H8",48.42697736,-123.3350381,6370007
SALON LABEL INC,Business & Financial,South Jubilee,2021,2021,"224-1627 FORT ST
VICTORIA BC  V8R 1H8",48.42697736,-123.3350381,6370007
VAN COWORKING MANAGEMENT,Business & Financial,South Jubilee,2020,2021,"224-1627 FORT ST
VICTORIA BC  V8R 1H8",48.42697736,-123.3350381,6370007
AMY ROBERTSON MEDIATION SERVICES,Business & Financial,South Jubilee,2014,2022,"201-1842 OAK BAY AVE
VICTORIA BC  V8R 1C2",48.42667801,-123.3277563,6385009
BLACK TIE VICTORIA,Business & Financial,South Jubilee,2019,2022,"C-1834 OAK BAY AVE
VICTORIA BC  V8R 1C2",48.42668413,-123.3281187,6385011
"CANADIAN COLLEGE OF PROFESSIONAL
AND CONTINUING EDUCATION INC",Business & Financial,South Jubilee,2021,2022,"224-1627 FORT ST
VICTORIA BC  V8R 1H8",48.42697736,-123.3350381,6370007
FLYTOGRAPHER ENTERPRISES,Business & Financial,South Jubilee,2015,2022,"C-1834 OAK BAY AVE
VICTORIA BC  V8R 1C2",48.42668413,-123.3281187,6385011
KAREN GRAHAM NOTARY CORPORATION,Business & Financial,South Jubilee,2017,2022,"1839 FORT ST
VICTORIA BC  V8R 1J6",48.42948546,-123.3293709,6388014
LITTLE & DAVIES INSURANCE & FINANCIAL PLANNING INC,Business & Financial,South Jubilee,2012,2022,"1845 FORT ST
VICTORIA BC  V8R 1J6",48.42948546,-123.3293709,6388014
MARITIME TRAVEL,Business & Financial,South Jubilee,2022,2022,"B-1932 OAK BAY AVE
VICTORIA BC  V8R 1C9",48.42668989,-123.3244797,028-524-705
PEMBERTON HOLMES LTD,Business & Financial,South Jubilee,2018,2022,"A-1834 OAK BAY AVE
VICTORIA BC  V8R 1C2",48.42668413,-123.3281187,6385011
PRIVATE MANAGED FOREST LAND COUNCIL,Business & Financial,South Jubilee,2014,2022,"305-1627 FORT ST
VICTORIA BC  V8R 1H8",48.42697736,-123.3350381,6370007
SINSON INVESTMENTS LTD,Business & Financial,South Jubilee,2012,2022,"200-1640 OAK BAY AVE
VICTORIA BC  V8R 1B2",48.42670156,-123.3345906,6370005
SOUTH ISLAND STUDIO,Business & Financial,South Jubilee,2020,2022,"1509 AMPHION ST
VICTORIA BC  V8R 4Z5",48.42666644,-123.3235798,6381014
THIBAULT & COMPANY APPRAISALS INC,Business & Financial,South Jubilee,2012,2022,"308-1830 OAK BAY AVE
VICTORIA BC  V8R 6R2",48.42669986,-123.3284873,000-758-710
VICTORIA EMERGENCY PHYSICIANS MANAGEMENT LTD,Business & Financial,South Jubilee,2012,2022,"325-1627 FORT ST
VICTORIA BC  V8R 1H8",48.42697736,-123.3350381,6370007
GT WATER MACHINES,Business & Financial,Victoria West,2020,2021,"524 WILLIAM ST
VICTORIA BC  V9A 3Y9",48.43210763,-123.3892728,000-196-649
TRANSTECH DATA SERVICES LTD,Business & Financial,Victoria West,2012,2021,"1055 ALSTON ST
VICTORIA BC  V9A 3S6",48.43598677,-123.3828919,12826011
ARCHIE JOHNSTONE PLUMBING & HEATING LTD,Business & Financial,Victoria West,2014,2022,"734 TYEE RD
VICTORIA BC  V9A 6X3",48.43530194,-123.3823151,12826005
AUDETTE ANALYTICS INC,Business & Financial,Victoria West,2022,2022,"28-230 WILSON ST
VICTORIA BC  V9A 3G2",48.43314128,-123.3838909,031-401-147
DR A K MCEACHRAN PROFESSIONAL PSYCHOLOGY CORPORATION,Business & Financial,Victoria West,2012,2022,"202-388 HARBOUR RD
VICTORIA BC  V9A 3S1",48.43175283,-123.3778108,027-935-124
EARTH MASON INNOVATIONS,Business & Financial,Victoria West,2021,2022,"210-90 REGATTA LANDING
VICTORIA BC  V9A 7R2",48.43672173,-123.3824387,025-898-451
FARMER CONSTRUCTION LTD,Business & Financial,Victoria West,2016,2022,"360 HARBOUR RD
VICTORIA BC  V9A 3S1",48.43077231,-123.3769489,V00791027
FUREVER CLEAN DOG WASH,Business & Financial,Victoria West,2017,2022,"B-602 ESQUIMALT RD
VICTORIA BC  V9A 3L4",48.43072995,-123.3887742,12789022
"GAGNON, NATHALIA",Business & Financial,Victoria West,2021,2022,"1006 RUSSELL ST
VICTORIA BC  V9A 3X9",48.43564476,-123.3876519,026-594-021
GOLDER ASSOCIATES LTD,Business & Financial,Victoria West,2021,2022,"300-398 HARBOUR RD
VICTORIA BC  V9A 0B7",48.43219055,-123.3783653,027-725-685
HOUSTON SIGN,Business & Financial,Victoria West,2012,2022,"502 WILLIAM ST
VICTORIA BC  V9A 3Y9",48.43165511,-123.389271,12789014
LIESCH INTERIORS LTD,Business & Financial,Victoria West,2013,2022,"355 CATHERINE ST
VICTORIA BC  V9A 3S9",48.42964505,-123.3835451,V00831028
LONG BO XIANG GROUP HOLDINGS LTD,Business & Financial,Victoria West,2018,2022,"355 CATHERINE ST
VICTORIA BC  V9A 3S9",48.42964505,-123.3835451,V00831028
M&Z INTERNATIONAL TRADING CANADA LTD,Business & Financial,Victoria West,2019,2022,"957 ALSTON ST
VICTORIA BC  V9A 3S5",48.43491043,-123.3825743,12825001
MEED GROWTH CORP.,Business & Financial,Victoria West,2021,2022,"250 BAY ST
VICTORIA BC  V9A 3K5",48.43354354,-123.3823272,12805007
MY MORTGAGE AUCTION CORP,Business & Financial,Victoria West,2018,2022,"102-645 TYEE RD
VICTORIA BC  V9A 6X5",48.43269694,-123.3793167,13079018
PASSIVE HOUSE CANADA,Business & Financial,Victoria West,2020,2022,"200-388 HARBOUR RD
VICTORIA BC  V9A 3S1",48.43175283,-123.3778108,027-935-141
PC HELPSOFT LABS INC,Business & Financial,Victoria West,2012,2022,"312-455 SITKUM RD
VICTORIA BC  V9A 7N9",48.42955023,-123.3783777,024-692-131
"PROULX, GILLES P",Business & Financial,Victoria West,2013,2022,"301-75 SONGHEES RD
VICTORIA BC  V9A 7M5",48.42694394,-123.3806419,023-323-582
RE/MAX ISLAND PROPERTIES,Business & Financial,Victoria West,2021,2022,"200-388 HARBOUR RD
VICTORIA BC  V9A 3S1",48.43175283,-123.3778108,027-935-141
SHIFT AUDIO CORP,Business & Financial,Victoria West,2020,2022,"951 ALSTON ST
VICTORIA BC  V9A 3S5",48.43491043,-123.3825743,12825001
SOL SOLAR LIGHTING CANADA INC,Business & Financial,Victoria West,2020,2022,"240-645 TYEE RD
VICTORIA BC  V9A 6X5",48.43269694,-123.3793167,13079018
TIME LINE BOOKEEPING SERVICES,Business & Financial,Victoria West,2012,2022,"201-388 HARBOUR RD
VICTORIA BC  V9A 3S1",48.43175283,-123.3778108,027-935-132
TIMES COLONIST,Business & Financial,Victoria West,2014,2022,"201-655 TYEE RD
VICTORIA BC  V9A 6X5",48.43328949,-123.3797073,13079017
TOP DOG DAYCARE & SPA,Business & Financial,Victoria West,2012,2022,"602 ESQUIMALT RD
VICTORIA BC  V9A 3L4",48.43072995,-123.3887742,12789022
TTG MANAGEMENT LTD,Business & Financial,Victoria West,2019,2022,"376 HARBOUR RD
VICTORIA BC  V9A 3S1",48.43126139,-123.3773332,V00791025
WEST COAST BREW SHOP,Business & Financial,Victoria West,2012,2022,"B-155 LANGFORD ST
VICTORIA BC  V9A 3B8",48.43491043,-123.3825743,12825001
WESTLAND INSURANCE GROUP LTD,Business & Financial,Victoria West,2012,2022,"105-176 WILSON ST
VICTORIA BC  V9A 7N6",48.43288795,-123.3808666,13088002
WISE VICTORIA MORTGAGES,Business & Financial,Victoria West,2012,2022,"225 DUNDAS ST
VICTORIA BC  V9A 3J9",48.43152814,-123.3845059,12803006
YENTEL PROPERTY MANAGEMENT INC,Business & Financial,Victoria West,2012,2022,"309 MARY ST
VICTORIA BC  V9A 3V8",48.42988427,-123.3855781,12796024
APPRECIATION ENGINE INC,Business & Financial,Burnside,2021,2021,"2031 STORE ST
VICTORIA BC  V8T 5L9",48.43227105,-123.3693538,V00561017
ACHIEVEMENT UNLOCKED INC,Business & Financial,Burnside,2022,2022,"2031 STORE ST
VICTORIA BC  V8T 5L9",48.43227105,-123.3693538,V00561017
